心血管1                          


01左心室喷血阻抗   [1.551-2.875]             
05骨骼钙化程度      [116.3-220.6]



体质




01自由基指数               [59.84-65.23]
02脑力                     [58.71-63.21]
03酸碱度                   [3.156-3.694]
04缺水                     [33.96-37.64]
05营养状况指数             [2.638-5.712]
06反应力                   [59.78-65.42]
07协调性指数               [0.710-4.109]
08柔韧性指数               [4.326-4.531]
09灵敏度指数               [2.954-5.543]
10缺氧                     [2.688-8.090]
11疾病抵抗力值             [2.019-4.721]
12判断能力指数             [4.023-11.62]
13平衡性指数               [133.6-141.4]
14体质指数                 [0.421-0.490]
15新陈代谢系数             [3.684-5.472]



维生素


01维生素K                [0.717-1.486]
02维生素E                [4.826-6.013]
03维生素B6               [2.124-4.192]
04维生素B2               [1.549-2.213]
05维生素B15              [6.428-21.39]
06维生素B12              [0.326-1.142]
07维生素B17              [2.432-4.652]
08叶酸                   [5.327-7.109]
09泛酸                   [1.143-2.904]
10维生素C                [0.824-1.942]
11维生素B1               [4.543-5.023]
12维生素A                [0.381-0.475]
13维生素D3               [0.713-0.992]
14维生素B16              [1.148-2.032]
15赖氨酸                 [0.253-0.669]
16色氨酸                 [2.374-3.709]
17苯丙氨酸               [0.731-1.307]
18蛋氨酸                 [0.432-0.826]
19苏氨酸                 [0.422-0.817]
20异亮氨酸               [1.831-3.248]
21亮氨酸                 [2.073-4.579]
22缬氨酸                 [2.012-4.892]
23组氨酸                 [2.903-4.012]
24精氨酸                 [0.710-1.209]



元素

01钙                   [7.019-3.721]
02铁                   [0.689-0.987]
03锌                   [1.137-2.401]
04硒                   [2.462-5.753]
05铜                   [1.954-4.543]
06锰                   [0.097-0.479]
07钒                   [122.9-2.318]
08汞                   [0.407-0.749]
09镁                   [1.421-5.490]
10钾                   [1.023-7.627]
11氟                   [1.425-5.872]
12碘                   [1.142-5.862]
13锂                   [1.604-4.472]
14锶                   [0.630-1.712]
15铅                   [1.124-3.453]
16镍                   [0.160-0.992]
 



